order_id,date,product_id,customer_id,quantity
ORD-06699,01/01/2025,P069,CUST-035,1
ORD-01255,01/01/2025,P020,CUST-430,1
ORD-07165,01/01/2025,P020,CUST-041,1
ORD-02537,01/01/2025,P062,CUST-464,1
ORD-03243,01/01/2025,P095,CUST-030,2
ORD-01638,01/01/2025,P060,CUST-335,1
ORD-01933,01/01/2025,P055,CUST-027,1
ORD-08797,01/01/2025,P055,CUST-237,1
ORD-01049,01/01/2025,P033,CUST-150,1
ORD-04206,01/01/2025,P032,CUST-111,5
ORD-09267,01/01/2025,P050,CUST-205,2
ORD-04559,01/01/2025,P082,CUST-313,1
ORD-08309,01/01/2025,P002,CUST-083,1
ORD-06482,01/01/2025,P098,CUST-219,1
ORD-05414,01/01/2025,P054,CUST-078,1
ORD-04753,01/01/2025,P071,CUST-319,1
ORD-08377,01/01/2025,P010,CUST-010,3
ORD-06015,01/01/2025,P083,CUST-150,2
ORD-01292,01/01/2025,P099,CUST-383,3
ORD-06615,01/01/2025,P094,CUST-150,1
ORD-09918,01/01/2025,P077,CUST-461,1
ORD-05168,01/01/2025,P008,CUST-044,1
ORD-05477,01/01/2025,P079,CUST-284,2
ORD-00317,01/01/2025,P024,CUST-443,4
ORD-04468,01/01/2025,P039,CUST-205,1
ORD-00946,02/01/2025,P056,CUST-228,1
ORD-02049,02/01/2025,P043,CUST-141,1
ORD-01040,02/01/2025,P010,CUST-334,4
ORD-02026,02/01/2025,P014,CUST-028,1
ORD-01558,02/01/2025,P089,CUST-015,1
ORD-07359,02/01/2025,P097,CUST-499,5
ORD-07279,02/01/2025,P071,CUST-388,1
ORD-03204,02/01/2025,P033,CUST-142,1
ORD-09427,02/01/2025,P064,CUST-354,1
ORD-01896,02/01/2025,P100,CUST-246,1
ORD-05792,02/01/2025,P098,CUST-344,1
ORD-00836,02/01/2025,P003,CUST-243,2
ORD-02091,02/01/2025,P015,CUST-404,1
ORD-04318,02/01/2025,P073,CUST-074,1
ORD-06124,02/01/2025,P084,CUST-104,1
ORD-03076,02/01/2025,P046,CUST-035,2
ORD-01100,02/01/2025,P096,CUST-048,1
ORD-01377,02/01/2025,P030,CUST-494,1
ORD-05218,02/01/2025,P048,CUST-063,1
ORD-08257,02/01/2025,P092,CUST-266,1
ORD-02675,02/01/2025,P096,CUST-200,2
ORD-00811,02/01/2025,P047,CUST-444,3
ORD-07019,02/01/2025,P072,CUST-461,1
ORD-03624,02/01/2025,P031,CUST-164,1
ORD-08383,02/01/2025,P044,CUST-333,1
ORD-02209,03/01/2025,P072,CUST-067,4
ORD-06187,03/01/2025,P005,CUST-260,2
ORD-03835,03/01/2025,P022,CUST-400,1
ORD-03922,03/01/2025,P068,CUST-058,1
ORD-02591,03/01/2025,P085,CUST-481,1
ORD-06765,03/01/2025,P092,CUST-418,3
ORD-01121,03/01/2025,P089,CUST-060,1
ORD-06176,03/01/2025,P089,CUST-007,5
ORD-09207,03/01/2025,P023,CUST-077,1
ORD-06234,03/01/2025,P005,CUST-451,3
ORD-04123,03/01/2025,P027,CUST-195,1
ORD-08086,03/01/2025,P035,CUST-097,1
ORD-07410,03/01/2025,P008,CUST-406,2
ORD-05820,03/01/2025,P050,CUST-222,1
ORD-05232,03/01/2025,P096,CUST-451,1
ORD-02941,03/01/2025,P095,CUST-485,1
ORD-07933,03/01/2025,P008,CUST-353,1
ORD-00287,03/01/2025,P015,CUST-173,1
ORD-03331,03/01/2025,P092,CUST-394,1
ORD-01553,03/01/2025,P087,CUST-389,3
ORD-04209,03/01/2025,P037,CUST-016,1
ORD-05128,03/01/2025,P034,CUST-391,4
ORD-01962,03/01/2025,P020,CUST-366,1
ORD-07372,03/01/2025,P060,CUST-054,2
ORD-05847,03/01/2025,P093,CUST-430,1
ORD-02842,03/01/2025,P044,CUST-364,2
ORD-08219,03/01/2025,P085,CUST-282,1
ORD-03698,03/01/2025,P016,CUST-115,1
ORD-09656,03/01/2025,P082,CUST-481,3
ORD-04352,03/01/2025,P042,CUST-152,1
ORD-08045,03/01/2025,P046,CUST-156,5
ORD-07904,03/01/2025,P053,CUST-466,2
ORD-05080,03/01/2025,P088,CUST-406,1
ORD-09976,03/01/2025,P032,CUST-172,1
ORD-03304,03/01/2025,P029,CUST-287,1
ORD-05404,03/01/2025,P029,CUST-072,1
ORD-04672,03/01/2025,P065,CUST-438,2
ORD-00402,03/01/2025,P055,CUST-036,3
ORD-01694,03/01/2025,P096,CUST-010,1
ORD-06453,04/01/2025,P096,CUST-225,4
ORD-08869,04/01/2025,P060,CUST-034,1
ORD-02258,04/01/2025,P003,CUST-139,1
ORD-00031,04/01/2025,P095,CUST-474,1
ORD-00428,04/01/2025,P057,CUST-243,2
ORD-06335,04/01/2025,P051,CUST-167,3
ORD-02926,04/01/2025,P025,CUST-357,1
ORD-05315,04/01/2025,P010,CUST-476,1
ORD-07197,04/01/2025,P002,CUST-030,3
ORD-04326,04/01/2025,P015,CUST-379,1
ORD-05003,04/01/2025,P073,CUST-254,1
ORD-04979,04/01/2025,P072,CUST-170,1
ORD-04604,04/01/2025,P044,CUST-345,2
